,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
10980,Unknown,India,2021-02-16 05:24:38,0,0,0
17557,Unknown,India,2021-02-17 05:23:10,0,0,0
17520,Unknown,India,2021-02-18 05:22:58,0,0,0
592,Unknown,India,2021-02-19 05:24:16,0,0,0
518,Unknown,India,2021-02-20 05:22:51,0,0,0
10386,Unknown,India,2021-02-21 05:24:33,0,0,0
10423,Unknown,India,2021-02-22 05:24:21,0,0,0
19498,Unknown,India,2021-02-23 05:23:41,0,0,0
19461,Unknown,India,2021-02-24 05:29:16,0,0,0
17259,Unknown,India,2021-02-25 05:24:57,0,0,0
17296,Unknown,India,2021-02-26 05:22:40,0,0,0
1373,Unknown,India,2021-02-27 05:22:28,0,0,0
1336,Unknown,India,2021-02-28 05:22:20,0,0,0
18120,Unknown,India,2021-03-01 05:23:01,0,0,0
8978,Unknown,India,2021-03-02 05:23:30,0,0,0
21203,Unknown,India,2021-03-03 05:23:28,0,0,0
21240,Unknown,India,2021-03-04 05:24:24,0,0,0
13134,Unknown,India,2021-03-05 05:26:29,0,0,0
13097,Unknown,India,2021-03-06 04:23:41,0,0,0
5495,Unknown,India,2021-03-07 05:21:54,0,0,0
5532,Unknown,India,2021-03-08 05:24:48,0,0,0.0
22169,Unknown,India,2021-03-09 05:28:19,0,0,0.0
22243,Unknown,India,2021-03-10 05:24:35,0,0,0.0
2229,Unknown,India,2021-03-11 05:25:48,0,0,0.0
2155,Unknown,India,2021-03-12 05:26:50,0,0,0.0
15656,Unknown,India,2021-03-13 05:25:15,0,0,0.0
15693,Unknown,India,2021-03-14 05:25:37,0,0,0.0
17933,Unknown,India,2021-03-15 05:25:51,0,0,0.0
17896,Unknown,India,2021-03-16 05:25:13,0,0,0.0
11243,Unknown,India,2021-03-17 05:25:07,0,0,0.0
11280,Unknown,India,2021-03-18 05:26:22,0,0,0.0
17076,Unknown,India,2021-03-19 05:26:09,0,0,0.0
17113,Unknown,India,2021-03-20 05:25:46,0,0,0.0
