Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths,state_code
Rajasthan,2020-06-16,12981,301,9785,2895.0,939148.0,8613.0,8
Gujarat,2020-06-16,24055,1505,16664,5886.0,802729.0,8585.0,24
Puducherry,2020-06-16,202,5,95,102.0,300.0,4.0,34
Madhya Pradesh,2020-06-16,10935,465,7903,2567.0,66388.0,1144.0,23
Himachal Pradesh,2020-06-16,556,8,353,195.0,52067.0,877.0,2
Meghalaya,2020-06-16,44,1,25,18.0,13625.0,143.0,17
Odisha,2020-06-16,4055,11,2854,1190.0,496107.0,2110.0,21
Uttar Pradesh,2020-06-16,13615,399,8268,4948.0,1697744.0,22516.0,9
Sikkim,2020-06-16,68,0,4,64.0,30095.0,373.0,11
Telangana,2020-06-16,5193,187,2766,2240.0,671183.0,3808.0,36
Unknown,2020-06-16,7684,0,0,7684.0,-7684.0,0.0,97
Karnataka,2020-06-16,7213,89,4135,2989.0,2721035.0,32202.0,29
Arunachal Pradesh,2020-06-16,91,0,7,84.0,16276.0,55.0,12
Andaman and Nicobar Islands,2020-06-16,41,0,33,8.0,4966.0,62.0,35
Tripura,2020-06-16,1086,1,433,652.0,31971.0,375.0,16
Assam,2020-06-16,4158,8,2166,1984.0,199809.0,894.0,18
Ladakh,2020-06-16,555,1,82,472.0,3597.0,57.0,38
Jharkhand,2020-06-16,1763,8,905,850.0,237971.0,2821.0,20
Kerala,2020-06-16,2543,20,1175,1348.0,3232990.0,15851.0,32
Bihar,2020-06-16,6650,40,4409,2201.0,242753.0,1339.0,10
Punjab,2020-06-17,3371,72,2461,838.0,259719.0,7262.0,3
Himachal Pradesh,2020-06-17,560,8,372,180.0,215743.0,3636.0,2
Madhya Pradesh,2020-06-17,11083,476,8152,2455.0,778853.0,8525.0,23
Assam,2020-06-17,4319,8,2166,2145.0,15435.0,40.0,18
Chandigarh,2020-06-17,358,6,302,50.0,61535.0,803.0,4
Uttarakhand,2020-06-17,1942,25,1216,701.0,73326.0,1213.0,5
Meghalaya,2020-06-17,44,1,25,18.0,1070.0,5.0,17
Delhi,2020-06-17,44688,1837,16500,26351.0,-1859.0,-437.0,7
Karnataka,2020-06-17,7530,94,4456,2980.0,3749501.0,38780.0,29
Ladakh,2020-06-17,649,1,85,563.0,8928.0,126.0,38
Unknown,2020-06-17,8273,0,0,8273.0,-8273.0,0.0,97
Gujarat,2020-06-17,24577,1533,17082,5962.0,746870.0,7807.0,24
West Bengal,2020-06-17,11909,495,6028,5386.0,474890.0,7981.0,19
Puducherry,2020-06-17,216,6,99,111.0,29.0,1.0,34
Jammu and Kashmir,2020-06-17,5298,63,2781,2454.0,13092.0,258.0,1
Telangana,2020-06-17,5406,191,3027,2188.0,265477.0,1271.0,36
Maharashtra,2020-06-17,113445,5537,57851,50057.0,1715381.0,41709.0,27
Dadra and Nagar Haveli and Daman and Diu,2020-06-17,45,0,9,36.0,3228.0,2.0,26
Haryana,2020-06-17,8272,118,3748,4406.0,34157.0,371.0,6
Arunachal Pradesh,2020-06-17,95,0,7,88.0,2232.0,3.0,12
Jharkhand,2020-06-17,1839,9,1121,709.0,117277.0,1069.0,20
Andaman and Nicobar Islands,2020-06-17,44,0,33,11.0,1581.0,20.0,35
Tripura,2020-06-17,1092,1,433,658.0,83913.0,828.0,16
